name,reviews.rating,reviews
AmazonBasics AAA Performance Alkaline Batteries (36 Count),3,I order 3 of them and one of the item is bad quality. Is missing backup spring so I have to put a pcs of aluminum to make the battery work.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,Bulk is always the less expensive way to go for products like these
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Well they are not Duracell but for the price i am happy.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Seem to work as well as name brand batteries at a much better price
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,These batteries are very long lasting the price is great.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Bought a lot of batteries for Christmas and the AmazonBasics Cell have been good. I haven't noticed a difference between the brand name batteries and the Amazon Basic brand. Just a lot easier to purchase and have arrive at the house and have on hand. Will buy again.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,ive not had any problame with these batteries have ordered them in the past been very pleased.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Well if you are looking for cheap non-rechargeable batteries that last quite a while then these are perfect. Nothing more to say.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),3,"These do not hold the amount of high power juice like energizer or duracell, but they are half the price."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,AmazonBasics AA AAA batteries have done well by me appear to have a good shelf life. I'll buy them again.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,I find amazon basics batteries to be equal if not superior to name brand ones. Can't believe I didn't start buying them sooner! The packages are large and the price is great too.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),3,"When I first started getting the Amazon basic batteries I really liked them. With recent purchases, they do not seem to last like they had, or maybe a mixed-bag (inconsistent with some lasting better than others). I have not done any tests, but feel some other brands may last longer. However, the price is hard to beat."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"Use it for my fish tank's light at night and works great, I love how you can easily switch it off and on if you want it on while guests are there."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"just got em so I can't really comment on how good the do the job, good price, quick delivery but have only put two into one of my keyboards but they can go up to a year so who can say after three days"
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,we have many things that need aa battery they are great
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Thankful that I was able to find on Amazon for a great price and even better shipping. Arrived in perfect condition and did exactly what I needed it to. Great purchase and would purchase again.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,I don't know if I would buy thus brand again seems like they don't last as long as Duracell
AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"In my opinion these did not last anywhere near as long as Duracel in things like LED candles (which is crazy) and trail cameras. Cameras were not exposed to cold temps more or less than other batteries. WE buy in bulk for the north house. Amazon Basics is great for things like sheets and beeding and towels. In my opinion the battery life, in the large package of aaa and aa size we purchased were lacking."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,They don't last as long as the brand name but are good enough considering they are much cheaper.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),3,Bought these batteries for my Christmas gifts the month of (december) only lasted like 2months toys now need replacement batteries . I also used some for my doorbell and just now needs replacement batteries. Tv Remote control is still working but these batteries don't last very long...
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,This my second order and they seem to work as good as name brand and ship to my door.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,This was my second purchase of amazon batteries and they work great. Just as good or even better than name brand batteries and half the price. This will be the only way I purchase batteries from now on!
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,They last as long as Duracell batteries in my Xbox one controllers and none of them exploded like some of the reviews said.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,they seemed to not last as long as other name brand names disappointed!
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,These do not last long at all very cheap batteries no happy
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,have not used yet but a battery is a battery good price
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,"These Amazon batteries did the job although I gave 4star only because I had a few I would say a hand full of batteries that were not as strong or were pretty weak but out of a box of 48 batteries, I will definitely buy again for this priceIm pretty well satisfied.Thank you!"
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,We've ordered these a few times cause we've been so happy with product. These are good quality. We are also happy with price. I would recommend these.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,HAVE NOT HAD CHANCE TO USE ALL OF THEM BUT HOPEFULLY ALL OF THEM WILL REMAIN IN GOOD ORDER FOR A REASONABLE AMOUNT OF TIME MEANING A FEW YEARS OUT.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),3,"these were under a light we thought they were there to fit the light when they arrived and nice company they were not the batteries we needed it should have been aa but that is ok,it was our fault not knowing this. thanks.."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,"I use these batteries in my game cameras and they work great, last several weeks."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Very convenient to have a box of batteries and at a good price. No longer need to compare pricing in stores. Should have done this long time ago.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Not much to say about batteries except they work for a good price. Having a hundred let's me share with kids and grand kids.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,They seem to work okay so far and the price was great.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,I use them for my Xbox controllers and they last pretty long. Great for a cheap price.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Seem to hold up as well as any name brand and at a much better price
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Works just as well as every other brand of battery with a better price. Powers all of my sons toys for months at a time.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),3,Just got them so i really wont kno for a few eeeks or so how good these batteries are
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,These last as well as Energizer- half the price.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"These batteries are horrible. We depend on AA batteries for many wireless microphone and have found that brand-name batteries last about a month per our usage. We switched to Amazon basics to try it out when a subscription for our preferred brand was no longer available and have found that, under the same usage, these batteries last about a week. That's a 1/4 capacity."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"3rd purchase of these AA from Amazon, all have expiration of 2027. Ones I've used thus far last as Long as name brands"
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,I am 100 satisfied with my purchase of these batteries
AmazonBasics AAA Performance Alkaline Batteries (36 Count),3,"I put these batteries in 10 of the 12 window candles that I bought - I put my last 2 Duracell in the other 2. The Amazon Batteries lasted for about 10 days and the Duracell lasted for 12. Since then I've experimented to see if this is consistent . It is, the Duracell last an average of 17 longer."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"First time I bought these they worked well and lasted almost as long as the name brands. Not the same this time around, almost no charge - 4-6 hours of run time - Junk batteries."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Seem to work very well at a great price.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,These batteries don't last even in a simple digital clock. 2 weeks at best.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"I buy AAA and AA batteries about 4 - 6 times a year. I made the switch to Amazon batteries about 2 years ago and never looked back. These batteries work just as well as any of the name brands, but at a much more reasonable cost."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"Date on the back of these were 1992. Yeah, 1992. Inedible."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,"GOT THE 48 PACK, I USEDD THEM UP FASTER THAN I THOUGHT I WOULD!!,SO IM ORDERING MORE !! SO IM ORDERING MORE NOW"
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,The 48 packs are the lowest price per AA battery you will find anywhere. I have a device I use for work that needs 8 new AA batteries every working day. These batteries get me through a 12 hour day the same as the expensive batteries. I could switch to rechargeable batteries but the simplicity of just putting in new batteries and not fooling with recharging every night is worth it to me.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,I definitely love the price and quantity.. My kids go tthrough them to fast. At least these will last a while..
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,They worked and great price.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Batteries. Standard AA kind. We use them everyday. They power many things and these work as good or better than any others.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Excellent performance and better price.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"Arrived earlier than expected. Amazon batteries are not only affordable, but have a long life."
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Excellent
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Great product!
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,They're batteries!
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,LOVE THESE BATTERIES! BETTER THAN DURACELL AND SAVES ME MONEY! THANK YOU FOR A GREAT PRODUCT AMAZON!
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"Amazon you rock! These work better than name brand batteries and cost nothing. Have the same nice feel of expensive batteries too. Perfect in my opinion, will re purchase!"
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Amazing so far. These AAA's are even more affordable than the brands at WalMart. Will update if they end up not being good.
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,works great
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,I am happy to report that this order is working fine with no issues. I am very satisfied with this order and plan to buy again from same seller. Thank you. Jn
