name,reviews.rating,reviews,sentiment
AmazonBasics AAA Performance Alkaline Batteries (36 Count),3,order one item bad quality miss backup spring put pc aluminum make battery work,neutral
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,bulk always less expensive way go product like,positive
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,well duracell price happy,positive
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,seem work well name brand battery much well price,positive
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,battery long last price great,positive
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,buy lot battery christmas amazonbasic cell good have not notice difference brand name battery amazon basic brand lot easy purchase arrive house hand buy,positive
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,I ve problame battery order past pleased,positive
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,well look cheap nonrechargeable battery last quite perfect nothing say,positive
AmazonBasics AAA Performance Alkaline Batteries (36 Count),3,hold amount high power juice like energizer duracell half price,neutral
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,amazonbasic aa aaa battery do well appear good shelf life ill buy,positive
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,find amazon basic battery equal superior name brand one can not believe do not start buy soon package large price great,positive
AmazonBasics AAA Performance Alkaline Batteries (36 Count),3,first start get amazon basic battery really like recent purchase seem last like maybe mixedbag inconsistent last well other do test feel brand may last long however price hard beat,neutral
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,use fish tank light night work great love easily switch want guest,positive
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,get em can not really comment good job good price quick delivery put two one keyboard go year say three day,positive
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,many thing need aa battery great,positive
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,thankful able find amazon great price even well shipping arrive perfect condition exactly need great purchase would purchase,positive
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,do not know would buy thus brand seem like do not last long duracell,negative
AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,opinion last anywhere near long duracel thing like lead candle crazy trail camera camera expose cold temp less battery buy bulk north house amazon basic great thing like sheet beede towel opinion battery life large package aaa aa size purchase lack,negative
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,do not last long brand name good enough consider much cheap,positive
AmazonBasics AAA Performance Alkaline Batteries (36 Count),3,buy battery christmas gift month december last like month toy need replacement battery also use doorbell need replacement battery tv remote control still work battery do not last long,neutral
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,second order seem work good name brand ship door,positive
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,second purchase amazon battery work great good even well name brand battery half price way purchase battery,positive
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,last long duracell battery xbox one controller none explode like review say,positive
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,seem last long name brand name disappoint,positive
AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,last long cheap battery happy,negative
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,use yet battery battery good price,positive
AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,amazon batterie job although give star would say hand full battery strong pretty weak box battery definitely buy priceim pretty well satisfiedthank,positive
AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,we ve order time cause we ve happy product good quality also happy price would recommend,positive
